,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,1408930,Chirnside Park - Home Change,2018-08-02,44.8,1.2,41.22,16.8,2.7,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-01,44.0,1.1,40.44,16.8,2.6,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-03,25.4,1.2,23.35,16.8,1.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-06,36.1,1.3,33.17,16.8,2.2,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-04,28.7,1.2,26.42,16.8,1.7000000000000002,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-05,44.1,1.3,40.61,16.8,2.6,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-10,46.4,1.5,42.66,16.8,2.8,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-07,39.3,1.4,36.13,16.8,2.3,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-08,33.8,1.4,31.09,16.8,2.0,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-12,45.7,1.5,42.04,16.8,2.7,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2019-09-26,66.5,22.7,61.18,16.8,4.0,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2019-09-27,32.4,22.8,29.76,16.8,1.9,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2019-09-28,49,22.8,45.07,16.8,2.9,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2019-09-29,40.2,22.8,36.98,16.8,2.4,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2019-10-01,76.1,22.9,69.97,16.8,4.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2019-09-30,44.8,22.9,41.18,16.8,2.7,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2019-10-02,66.4,23.0,61.08,16.8,4,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2019-10-06,48.5,23.2,44.59,16.8,2.9,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2019-10-03,75,23.1,69.01,16.8,4.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-09,30.5,1.4,28.07,16.8,1.8,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-11,30.5,1.5,28.03,16.8,1.8,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-13,31.5,1.6,28.98,16.8,1.9,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-14,51.1,1.6,47.03,16.8,3.1,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-15,46.9,1.7,43.15,16.8,2.8,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-16,42.7,1.7,39.29,16.8,2.6,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-17,51.7,1.8,47.59,16.8,3.1,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-18,39.5,1.8,36.34,16.8,2.4,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-19,35.1,1.8,32.24,16.8,2.1,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-21,36.5,1.9,33.56,16.8,2.2,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-20,28,1.9,25.71,16.8,1.7000000000000002,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-24,58.3,2.0,53.63,16.8,3.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-22,36.6,1.9,33.63,16.8,2.2,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-23,55.5,2.0,51.04,16.8,3.3,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-25,59.2,2.1,54.47,16.8,3.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-26,57.1,2.2,52.52,16.8,3.4,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-27,52.9,2.2,48.66,16.8,3.2,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-28,55.2,2.3,50.79,16.8,3.3,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-29,63.5,2.3,58.4,16.8,3.8,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-30,12.3,2.4,11.3,16.8,0.7000000000000001,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-08-31,22,2.4,20.27,16.8,1.3,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-01,38.5,2.4,35.45,16.8,2.3,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-02,50.3,2.5,46.25,16.8,3,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-03,55.7,2.5,51.26,16.8,3.3,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-04,56.7,2.6,52.16,16.8,3.4,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-09,39.4,2.8,36.27,16.8,2.4,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-05,55.3,2.6,50.9,16.8,3.3,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-06,46,2.7,42.28,16.8,2.7,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-07,49.3,2.7,45.32,16.8,2.9,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-08,63.7,2.8,58.64,16.8,3.8,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-10,35.2,2.9,32.4,16.8,2.1,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-11,67.2,2.9,61.82,16.8,4,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-12,58.1,3.0,53.44,16.8,3.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-13,69,3.0,63.49,16.8,4.1,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-14,68.9,3.1,63.35,16.8,4.1,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-15,42.6,3.2,39.14,16.8,2.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-16,58.5,3.2,53.85,16.8,3.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-17,67.8,3.3,62.39,16.8,4.1,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-18,39.2,3.3,36.07,16.8,2.3,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-24,74.9,3.7,68.9,16.8,4.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-19,61,3.4,56.08,16.8,3.6,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-21,62.7,3.5,57.65,16.8,3.7,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-20,58.8,3.4,54.1,16.8,3.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-22,72.6,3.6,66.78,16.8,4.3,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-23,41.9,3.6,38.55,16.8,2.5,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-25,57.3,3.7,52.68,16.8,3.4,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-26,77.1,3.8,70.9,16.8,4.6,-37.905968,144.6491162,2018-05-09
0,1408930,Chirnside Park - Home Change,2018-09-27,76.8,3.9,70.63,16.8,4.6,-37.905968,144.6491162,2018-05-09
